DistrictCode,District Name,SBA at health facility,SBA at home,SBA Total,Non-SBA health worker at Facility,Non-SBA health worker at home,Non-SBA health worker total,Facility Total,Home Total,Total total
,National Total,303621,11134,314755,15640,18784,34424,319261,29918,349179
,EASTERN,62521,1316,63837,1653,3237,4890,64174,4553,68727
1,TAPLEJUNG,726,14,740,175,350,525,901,364,1265
2,PANCHTHAR,1980,16,1996,26,59,85,2006,75,2081
3,ILAM,1444,68,1512,26,98,124,1470,166,1636
4,JHAPA,12620,32,12652,17,61,78,12637,93,12730
5,MORANG,18777,281,19058,351,41,392,19128,322,19450
6,SUNSARI,5159,34,5193,31,78,109,5190,112,5302
7,DHANKUTA,595,18,613,30,150,180,625,168,793
8,TERHATHUM,545,7,552,22,92,114,567,99,666
9,SANKHUWASABHA,1763,28,1791,27,14,41,1790,42,1832
10,BHOJPUR,732,53,785,297,119,416,1029,172,1201
11,SOLUKHUMBU,566,86,652,30,189,219,596,275,871
12,OKHALDHUNGA,1599,54,1653,104,87,191,1703,141,1844
13,KHOTANG,729,6,735,208,973,1181,937,979,1916
14,UDAYAPUR,3178,47,3225,135,210,345,3313,257,3570
15,SAPTARI,4602,424,5026,136,540,676,4738,964,5702
16,SIRAHA,7506,148,7654,38,176,214,7544,324,7868
,CENTRAL,87250,6730,93980,3022,11071,14093,90272,17801,108073
17,DHANUSA,959,1268,2227,91,1203,1294,1050,2471,3521
18,MAHOTTARI,2597,1029,3626,621,2457,3078,3218,3486,6704
19,SARLAHI,4801,1275,6076,259,1545,1804,5060,2820,7880
20,SINDHULI,1482,114,1596,166,136,302,1648,250,1898
21,RAMECHHAP,1249,65,1314,77,133,210,1326,198,1524
22,DOLAKHA,955,114,1069,126,155,281,1081,269,1350
23,SINDHUPALCHOK,1025,66,1091,41,163,204,1066,229,1295
24,KAVRE,5638,31,5669,18,20,38,5656,51,5707
25,LALITPUR,8096,16,8112,9,13,22,8105,29,8134
26,BHAKTAPUR,1523,2,1525,30,5,35,1553,7,1560
27,KATHMANDU,26008,36,26044,13,3,16,26021,39,26060
28,NUWAKOT,1987,75,2062,30,85,115,2017,160,2177
29,RASUWA,218,14,232,24,16,40,242,30,272
30,DHADING,3130,15,3145,100,8,108,3230,23,3253
31,MAKWANPUR,3165,22,3187,123,14,137,3288,36,3324
32,RAUTAHAT,4398,1499,5897,259,3274,3533,4657,4773,9430
33,BARA,2337,319,2656,458,999,1457,2795,1318,4113
34,PARSA,2363,748,3111,464,831,1295,2827,1579,4406
35,CHITAWAN,15319,22,15341,113,11,124,15432,33,15465
,WESTERN,64520,1930,66450,687,2862,3549,65207,4792,69999
36,GORKHA,1858,97,1955,145,142,287,2003,239,2242
37,LAMJUNG,1718,49,1767,72,49,121,1790,98,1888
38,TANAHU,1515,30,1545,20,35,55,1535,65,1600
39,SYANGJA,1404,73,1477,15,68,83,1419,141,1560
40,KASKI,13979,89,14068,19,22,41,13998,111,14109
41,MANANG,7,0,7,2,1,3,9,1,10
42,MUSTANG,54,5,59,5,6,11,59,11,70
43,MYAGDI,1257,85,1342,14,206,220,1271,291,1562
44,PARBAT,843,35,878,11,6,17,854,41,895
45,BAGLUNG,2629,241,2870,75,248,323,2704,489,3193
46,GULMI,2104,91,2195,45,428,473,2149,519,2668
47,PALPA,5359,48,5407,9,42,51,5368,90,5458
48,NAWALPARASI,4558,56,4614,53,83,136,4611,139,4750
49,RUPANDEHI,23548,14,23562,178,100,278,23726,114,23840
50,KAPILBASTU,2409,903,3312,24,1356,1380,2433,2259,4692
51,ARGHAKHANCHI,1278,114,1392,0,70,70,1278,184,1462
,MID WESTERN,52395,593,52988,5238,777,6015,57633,1370,59003
52,PYUTHAN,2688,24,2712,66,61,127,2754,85,2839
53,ROLPA,2172,23,2195,441,10,451,2613,33,2646
54,RUKUM,1769,37,1806,344,78,422,2113,115,2228
55,SALYAN,2860,25,2885,58,16,74,2918,41,2959
56,DANG,8303,11,8314,388,12,400,8691,23,8714
57,BANKE,14791,1,14792,7,0,7,14798,1,14799
58,BARDIYA,5631,2,5633,39,2,41,5670,4,5674
59,SURKHET,5441,0,5441,1320,19,1339,6761,19,6780
60,DAILEKH,2933,20,2953,1960,29,1989,4893,49,4942
61,JAJARKOT,1058,105,1163,317,146,463,1375,251,1626
62,DOLPA,101,95,196,6,61,67,107,156,263
63,JUMLA,1447,68,1515,28,95,123,1475,163,1638
64,KALIKOT,1903,59,1962,233,20,253,2136,79,2215
65,MUGU,574,58,632,9,162,171,583,220,803
66,HUMLA,724,65,789,22,66,88,746,131,877
,FAR WESTERN,36935,565,37500,5040,837,5877,41975,1402,43377
67,BAJURA,1775,54,1829,212,58,270,1987,112,2099
68,BAJHANG,2861,125,2986,242,148,390,3103,273,3376
69,ACHHAM,3894,102,3996,669,431,1100,4563,533,5096
70,DOTI,3852,101,3953,121,21,142,3973,122,4095
71,KAILALI,12117,55,12172,2311,48,2359,14428,103,14531
72,KANCHANPUR,6039,2,6041,26,0,26,6065,2,6067
73,DADELDHURA,2195,12,2207,305,7,312,2500,19,2519
74,BAITADI,2525,60,2585,1093,63,1156,3618,123,3741
75,DARCHAULA,1677,54,1731,61,61,122,1738,115,1853
